Date,Close,High,Low,Open,DailyReturn,Target
1/1/99,1.1729,1.1729,1.1729,,,0.811839323467235
1/4/99,1.1825,1.1885,1.174,1.1729,0.811839323467235,-0.416100543478272
1/5/99,1.1776,1.1835,1.1747,1.1825,-0.416100543478272,-1.51724137931035
1/6/99,1.16,1.1775,1.1555,1.1776,-1.51724137931035,0.964740032442593
1/7/99,1.1713,1.1735,1.161,1.16,0.964740032442593,-1.01768003449763
1/8/99,1.1595,1.1735,1.154,1.1713,-1.01768003449763,-0.905056130885037
1/11/99,1.1491,1.1605,1.1487,1.1595,-0.905056130885037,0.519435546705913
1/12/99,1.1551,1.1565,1.1445,1.1491,0.519435546705913,0.875311078692181
1/13/99,1.1653,1.179,1.155,1.1551,0.875311078692181,0.47826458279956
1/14/99,1.1709,1.1725,1.1615,1.1653,0.47826458279956,-1.0267471958585
1/15/99,1.159,1.175,1.1566,1.1709,-1.0267471958585,0.129254631624305
1/18/99,1.1605,1.162,1.156,1.159,0.129254631624305,0.0430663221360848
1/19/99,1.161,1.164,1.1565,1.1605,0.0430663221360848,-0.493378343287461
1/20/99,1.1553,1.1615,1.1542,1.161,-0.493378343287461,0.405172413793097
1/21/99,1.16,1.1612,1.1545,1.1553,0.405172413793097,-0.112194700957958
1/22/99,1.1587,1.1625,1.156,1.16,-0.112194700957958,-0.276936391172661
1/25/99,1.1555,1.161,1.1554,1.1587,-0.276936391172661,0.0518986246864401
1/26/99,1.1561,1.159,1.155,1.1555,0.0518986246864401,-1.12841147655703
1/27/99,1.1432,1.1565,1.1403,1.1561,-1.12841147655703,-0.0963138078977411
1/28/99,1.1421,1.147,1.138,1.1432,-0.0963138078977411,-0.47505938242279
1/29/99,1.1367,1.143,1.1346,1.1421,-0.47505938242279,-0.486209335219242
2/1/99,1.1312,1.139,1.1289,1.1367,-0.486209335219242,0.317236517448013
2/2/99,1.1348,1.1365,1.1285,1.1312,0.317236517448013,-0.256206378655369
2/3/99,1.1319,1.1356,1.13,1.1348,-0.256206378655369,0.14115571239524
2/4/99,1.1335,1.1345,1.125,1.1319,0.14115571239524,-0.62139369729249
2/5/99,1.1265,1.137,1.1254,1.1335,-0.62139369729249,0.529801324503312
2/8/99,1.1325,1.1327,1.122,1.1265,0.529801324503312,-0.318894499069895
2/9/99,1.1289,1.1345,1.1281,1.1325,-0.318894499069895,0.493609519612168
2/10/99,1.1345,1.136,1.127,1.1289,0.493609519612168,-0.997062227365806
2/11/99,1.1233,1.1335,1.1222,1.1345,-0.997062227365806,0.41666666666666
2/12/99,1.128,1.1287,1.1215,1.1233,0.41666666666666,-0.445235975066776
2/15/99,1.123,1.1305,1.1223,1.128,-0.445235975066776,-0.258905454870092
2/16/99,1.1201,1.1235,1.1164,1.123,-0.258905454870092,0.320370205570866
2/17/99,1.1237,1.1265,1.1205,1.1201,0.320370205570866,-0.303490136570548
2/18/99,1.1203,1.128,1.119,1.1237,-0.303490136570548,-1.26547952634909
