Date,EUR/USD Close,EUR/USD High,EUR/USD Low
1/1/99,1.1729,1.1729,1.1729
1/4/99,1.1825,1.1885,1.174
1/5/99,1.1776,1.1835,1.1747
1/6/99,1.16,1.1775,1.1555
1/7/99,1.1713,1.1735,1.161
1/8/99,1.1595,1.1735,1.154
1/11/99,1.1491,1.1605,1.1487
1/12/99,1.1551,1.1565,1.1445
1/13/99,1.1653,1.179,1.155
1/14/99,1.1709,1.1725,1.1615
1/15/99,1.159,1.175,1.1566
1/18/99,1.1605,1.162,1.156
1/19/99,1.161,1.164,1.1565
1/20/99,1.1553,1.1615,1.1542
1/21/99,1.16,1.1612,1.1545
1/22/99,1.1587,1.1625,1.156
1/25/99,1.1555,1.161,1.1554
1/26/99,1.1561,1.159,1.155
1/27/99,1.1432,1.1565,1.1403
1/28/99,1.1421,1.147,1.138
1/29/99,1.1367,1.143,1.1346
2/1/99,1.1312,1.139,1.1289
2/2/99,1.1348,1.1365,1.1285
2/3/99,1.1319,1.1356,1.13
2/4/99,1.1335,1.1345,1.125
2/5/99,1.1265,1.137,1.1254
2/8/99,1.1325,1.1327,1.122
2/9/99,1.1289,1.1345,1.1281
2/10/99,1.1345,1.136,1.127
2/11/99,1.1233,1.1335,1.1222
2/12/99,1.128,1.1287,1.1215
2/15/99,1.123,1.1305,1.1223
2/16/99,1.1201,1.1235,1.1164
2/17/99,1.1237,1.1265,1.1205
2/18/99,1.1203,1.128,1.119
2/19/99,1.1063,1.121,1.106
2/22/99,1.1036,1.107,1.0965
2/23/99,1.1005,1.107,1.0944
2/24/99,1.0986,1.1045,1.0925
2/25/99,1.1044,1.1076,1.0985
2/26/99,1.1016,1.1045,1.0955
3/1/99,1.0886,1.102,1.0884
3/2/99,1.0918,1.0938,1.086
3/3/99,1.0889,1.0945,1.0881
3/4/99,1.082,1.088,1.0792
3/5/99,1.0826,1.0862,1.079
3/8/99,1.0883,1.092,1.08
3/9/99,1.0889,1.092,1.086
3/10/99,1.0952,1.0975,1.0875
3/11/99,1.1032,1.1063,1.08
3/12/99,1.0904,1.104,1.0892
3/15/99,1.0937,1.0957,1.0885
3/16/99,1.1,1.1007,1.0815
3/17/99,1.1004,1.1044,1.094
3/18/99,1.0971,1.1065,1.0965
3/19/99,1.0886,1.11,1.0882
3/22/99,1.0915,1.0918,1.085
3/23/99,1.091,1.0926,1.0865
3/24/99,1.0892,1.0964,1.0875
3/25/99,1.0906,1.091,1.083
3/26/99,1.0767,1.0865,1.0714
3/29/99,1.0739,1.079,1.068
3/30/99,1.0717,1.0775,1.0698
3/31/99,1.0757,1.0824,1.069
4/1/99,1.0789,1.082,1.0725
4/2/99,1.0782,1.0805,1.0765
4/5/99,1.0711,1.0785,1.0702
4/6/99,1.0842,1.0858,1.0705
4/7/99,1.0774,1.0845,1.0768
4/8/99,1.0744,1.088,1.0728
4/9/99,1.0802,1.0813,1.0725
4/12/99,1.0823,1.0878,1.0815
4/13/99,1.0769,1.083,1.0745
4/14/99,1.0797,1.082,1.0765
4/15/99,1.0703,1.0815,1.0691
4/16/99,1.07,1.0717,1.063
4/19/99,1.0633,1.07,1.0594
4/20/99,1.0627,1.0685,1.0611
4/21/99,1.0619,1.0635,1.0575
4/22/99,1.0616,1.066,1.0561
4/23/99,1.0612,1.0685,1.0596
4/26/99,1.0586,1.063,1.0579
