Date,EUR/USD Close,EUR/USD High,EUR/USD Low
4/27/99,1.0665,1.0668,1.058
4/28/99,1.0623,1.0695,1.0606
4/29/99,1.0591,1.064,1.057
4/30/99,1.0584,1.0635,1.0549
5/3/99,1.0577,1.0605,1.0553
5/4/99,1.0633,1.0635,1.056
5/5/99,1.0744,1.0773,1.0615
5/6/99,1.0815,1.0825,1.0735
5/7/99,1.075,1.0814,1.0743
5/10/99,1.08,1.0836,1.071
5/11/99,1.0715,1.0805,1.0705
5/12/99,1.0649,1.0747,1.064
5/13/99,1.0666,1.0675,1.0605
5/14/99,1.0652,1.0741,1.0649
5/17/99,1.0669,1.0688,1.064
5/18/99,1.0686,1.0709,1.0656
5/19/99,1.0659,1.0685,1.0623
5/20/99,1.0631,1.0707,1.0615
5/21/99,1.0579,1.062,1.0546
5/24/99,1.0592,1.0608,1.055
5/25/99,1.0593,1.0641,1.0565
5/26/99,1.0468,1.0625,1.045
5/27/99,1.0441,1.0485,1.041
5/28/99,1.0401,1.051,1.0395
5/31/99,1.042,1.0485,1.0415
6/1/99,1.0448,1.0478,1.0415
6/2/99,1.0348,1.046,1.033
6/3/99,1.0325,1.0404,1.0305
6/4/99,1.0373,1.0377,1.027
6/7/99,1.0284,1.037,1.026
6/8/99,1.0458,1.0468,1.0265
6/9/99,1.0471,1.0492,1.0427
6/10/99,1.0482,1.052,1.0435
6/11/99,1.0542,1.0563,1.0473
6/14/99,1.0422,1.051,1.0408
6/15/99,1.0422,1.0435,1.038
6/16/99,1.0313,1.044,1.029
6/17/99,1.0342,1.0355,1.029
6/18/99,1.0387,1.0423,1.0295
6/21/99,1.0348,1.0415,1.031
6/22/99,1.0323,1.0355,1.0295
6/23/99,1.0328,1.035,1.0272
6/24/99,1.0408,1.0422,1.0308
6/25/99,1.0431,1.048,1.0405
6/28/99,1.0361,1.0435,1.0346
6/29/99,1.0335,1.0367,1.032
6/30/99,1.034,1.036,1.0291
7/1/99,1.0233,1.039,1.0203
7/2/99,1.0245,1.025,1.021
7/5/99,1.0225,1.0255,1.0217
7/6/99,1.0234,1.026,1.0185
7/7/99,1.0227,1.027,1.02
7/8/99,1.021,1.0227,1.0146
7/9/99,1.0174,1.024,1.0165
7/12/99,1.0156,1.02,1.0112
7/13/99,1.0173,1.021,1.011
7/14/99,1.0212,1.0227,1.0125
7/15/99,1.0207,1.0253,1.0185
7/16/99,1.0196,1.023,1.0185
7/19/99,1.0301,1.0341,1.0125
7/20/99,1.0413,1.0437,1.028
7/21/99,1.0523,1.055,1.044
7/22/99,1.0523,1.058,1.0475
7/23/99,1.0514,1.0547,1.0457
7/26/99,1.0661,1.0722,1.0515
7/27/99,1.0621,1.07,1.061
7/28/99,1.0662,1.069,1.0593
7/29/99,1.0726,1.0744,1.0655
7/30/99,1.0707,1.074,1.0677
8/2/99,1.0689,1.071,1.0625
8/3/99,1.0686,1.0704,1.0627
8/4/99,1.0775,1.0799,1.067
8/5/99,1.0758,1.0826,1.074
8/6/99,1.0759,1.0794,1.072
8/9/99,1.0706,1.0735,1.068
8/10/99,1.071,1.0765,1.07
8/11/99,1.0657,1.0725,1.0643
8/12/99,1.0666,1.067,1.0623
8/13/99,1.0567,1.07,1.0559
8/16/99,1.0568,1.06,1.0565
8/17/99,1.0513,1.0585,1.0491
8/18/99,1.0528,1.0562,1.05
8/19/99,1.0633,1.0647,1.046
8/20/99,1.0669,1.069,1.0625
8/23/99,1.0502,1.0675,1.0453
8/24/99,1.0531,1.0552,1.041
8/25/99,1.0424,1.0545,1.041
8/26/99,1.0448,1.047,1.0415
8/27/99,1.0459,1.0485,1.042
8/30/99,1.0461,1.0485,1.0437
8/31/99,1.0577,1.0608,1.0485
9/1/99,1.0594,1.064,1.056
9/2/99,1.069,1.072,1.0555
9/3/99,1.0615,1.072,1.0587
9/6/99,1.058,1.062,1.057
9/7/99,1.059,1.06,1.0515
9/8/99,1.0594,1.064,1.0567
9/9/99,1.0537,1.0635,1.0524
9/10/99,1.0357,1.056,1.0345
9/13/99,1.0414,1.0424,1.03
9/14/99,1.0355,1.0438,1.032
9/15/99,1.0396,1.0423,1.0286
9/16/99,1.0406,1.047,1.035
9/17/99,1.0413,1.0417,1.0385
9/20/99,1.0385,1.045,1.0381
9/21/99,1.0485,1.0501,1.0365
9/22/99,1.0446,1.054,1.0408
9/23/99,1.0439,1.048,1.0392
9/24/99,1.0452,1.054,1.0422
9/27/99,1.0474,1.048,1.0392
9/28/99,1.0547,1.0571,1.0445
9/29/99,1.0638,1.066,1.0515
9/30/99,1.067,1.0695,1.061
10/1/99,1.0739,1.0765,1.067
10/4/99,1.0739,1.077,1.069
10/5/99,1.0753,1.0762,1.067
10/6/99,1.0691,1.078,1.0684
10/7/99,1.0718,1.0748,1.0658
10/8/99,1.0613,1.072,1.0602
10/11/99,1.064,1.0655,1.061
10/12/99,1.0759,1.077,1.063
10/13/99,1.0789,1.0805,1.0736
10/14/99,1.079,1.0831,1.075
10/15/99,1.0896,1.0914,1.0765
10/18/99,1.0841,1.09,1.083
10/19/99,1.0839,1.0851,1.0776
10/20/99,1.0742,1.084,1.0729
10/21/99,1.082,1.0832,1.0745
10/22/99,1.0669,1.081,1.0655
10/25/99,1.0662,1.07,1.0635
10/26/99,1.0585,1.0695,1.0563
10/27/99,1.05,1.064,1.0475
10/28/99,1.0522,1.0544,1.0469
10/29/99,1.0542,1.056,1.0435
11/1/99,1.0507,1.0595,1.0483
11/2/99,1.0519,1.0555,1.0485
11/3/99,1.048,1.053,1.0457
11/4/99,1.0359,1.054,1.0344
11/5/99,1.042,1.0435,1.036
11/8/99,1.0387,1.046,1.0346
11/9/99,1.0394,1.0434,1.0365
11/10/99,1.0444,1.0482,1.0388
11/11/99,1.042,1.045,1.0395
11/12/99,1.0319,1.0415,1.028
11/15/99,1.0317,1.0345,1.0297
11/16/99,1.0325,1.0355,1.0299
11/17/99,1.0407,1.044,1.03
11/18/99,1.0293,1.0435,1.0263
11/19/99,1.031,1.0333,1.0246
11/22/99,1.0315,1.0341,1.029
11/23/99,1.0271,1.0335,1.0258
11/24/99,1.019,1.028,1.0156
11/25/99,1.019,1.021,1.0134
11/26/99,1.0164,1.0195,1.0076
11/29/99,1.0103,1.02,1.0037
11/30/99,1.0086,1.0145,1.0045
12/1/99,1.0087,1.0125,1.0047
12/2/99,1.0026,1.0125,1
12/3/99,1.0024,1.004,0.9995
12/6/99,1.0224,1.0267,1
12/7/99,1.0247,1.0295,1.0198
12/8/99,1.0274,1.0285,1.0223
12/9/99,1.0213,1.0285,1.0157
12/10/99,1.012,1.0225,1.0113
12/13/99,1.014,1.016,1.0107
12/14/99,1.0055,1.0145,1.0028
12/15/99,1.007,1.0089,1.0014
12/16/99,1.0167,1.019,1.0065
12/17/99,1.008,1.0245,1.006
12/20/99,1.0116,1.014,1.004
12/21/99,1.0086,1.015,1.0075
12/22/99,1.0088,1.011,1.006
12/23/99,1.0147,1.0179,1.007
12/24/99,1.013,1.016,1.0115
12/27/99,1.0126,1.0155,1.0106
12/28/99,1.0059,1.0145,1.0038
12/29/99,1.0054,1.0105,1.0037
12/30/99,1.0087,1.0092,1.0022
12/31/99,1.0107,1.0117,1.0045
1/3/00,1.0276,1.028,1.0052
1/4/00,1.0299,1.0342,1.0215
1/5/00,1.0317,1.04,1.0285
1/6/00,1.0299,1.0412,1.0276
1/7/00,1.0283,1.033,1.0256
1/10/00,1.0256,1.03,1.0205
1/11/00,1.0326,1.0337,1.0245
1/12/00,1.0312,1.032,1.0263
1/13/00,1.0257,1.0315,1.0237
1/14/00,1.0142,1.0223,1.0112
1/17/00,1.0118,1.0145,1.0075
1/18/00,1.0122,1.014,1.0075
1/19/00,1.0123,1.0127,1.0086
1/20/00,1.0167,1.0186,1.0075
1/21/00,1.0098,1.019,1.0048
1/24/00,1.0043,1.007,1.0001
1/25/00,1.0017,1.0095,0.999
1/26/00,1.0013,1.0055,0.9995
1/27/00,0.9877,1.003,0.9869
1/28/00,0.9773,0.989,0.9738
1/31/00,0.9695,0.9825,0.9667
2/1/00,0.9732,0.9779,0.9665
2/2/00,0.9756,0.98,0.969
2/3/00,0.9901,0.9947,0.9715
2/4/00,0.9825,0.994,0.9751
2/7/00,0.9802,0.983,0.9755
2/8/00,0.9857,0.9915,0.9785
2/9/00,0.9922,0.9967,0.985
2/10/00,0.9862,0.996,0.9832
2/11/00,0.987,0.9879,0.979
2/14/00,0.9813,0.9915,0.9777
2/15/00,0.9813,0.9861,0.9765
2/16/00,0.9865,0.987,0.979
2/17/00,0.9886,0.9955,0.9837
2/18/00,0.9847,0.99,0.9811
2/21/00,0.987,0.989,0.9845
2/22/00,1.005,1.0081,0.987
2/23/00,1.0029,1.009,1.0011
2/24/00,0.9943,1.004,0.9888
2/25/00,0.9742,0.9925,0.9725
2/28/00,0.9728,0.9745,0.939
2/29/00,0.9664,0.987,0.9645
3/1/00,0.9743,0.9767,0.9625
3/2/00,0.9662,0.9795,0.9612
3/3/00,0.9617,0.968,0.9591
3/6/00,0.9591,0.967,0.956
3/7/00,0.957,0.9625,0.9528
3/8/00,0.9613,0.9632,0.9522
3/9/00,0.9678,0.9698,0.9595
3/10/00,0.963,0.9685,0.9599
3/13/00,0.9646,0.973,0.9615
3/14/00,0.9672,0.9683,0.9592
3/15/00,0.968,0.9712,0.964
3/16/00,0.9715,0.974,0.9645
3/17/00,0.9726,0.9731,0.9658
3/20/00,0.9733,0.9745,0.9685
3/21/00,0.9644,0.9735,0.9632
3/22/00,0.9602,0.963,0.9579
3/23/00,0.972,0.9732,0.96
3/24/00,0.9751,0.9773,0.9674
3/27/00,0.9655,0.979,0.9633
3/28/00,0.9614,0.9699,0.9598
3/29/00,0.9507,0.96,0.9477
3/30/00,0.9611,0.9624,0.9512
3/31/00,0.9557,0.963,0.953
4/3/00,0.9581,0.9604,0.95
4/4/00,0.9637,0.9756,0.9516
4/5/00,0.9628,0.971,0.9595
4/6/00,0.9602,0.9645,0.9567
4/7/00,0.9547,0.9615,0.9537
4/10/00,0.9615,0.9627,0.9535
4/11/00,0.9589,0.9646,0.9564
4/12/00,0.9562,0.96,0.952
4/13/00,0.9541,0.9595,0.9513
4/14/00,0.9596,0.962,0.951
4/17/00,0.9535,0.967,0.9522
4/18/00,0.9474,0.9525,0.9426
4/19/00,0.9397,0.949,0.936
4/20/00,0.9375,0.9425,0.9358
4/21/00,0.938,0.9397,0.9366
4/24/00,0.9395,0.9449,0.9365
4/25/00,0.92,0.9395,0.9163
4/26/00,0.9235,0.925,0.9175
4/27/00,0.9107,0.9249,0.906
4/28/00,0.9093,0.9136,0.903
5/1/00,0.9166,0.9171,0.9071
5/2/00,0.9075,0.9172,0.9033
5/3/00,0.895,0.9106,0.8886
5/4/00,0.8902,0.897,0.8845
5/5/00,0.8985,0.9011,0.8905
5/8/00,0.8917,0.9045,0.8919
5/9/00,0.9067,0.908,0.8945
5/10/00,0.909,0.9128,0.905
5/11/00,0.8992,0.9107,0.8992
5/12/00,0.9185,0.9199,0.898
5/15/00,0.9123,0.919,0.9122
5/16/00,0.9034,0.9105,0.9024
5/17/00,0.8952,0.903,0.889
5/18/00,0.8934,0.896,0.8905
5/19/00,0.8991,0.9002,0.8845
5/22/00,0.9048,0.9074,0.8955
5/23/00,0.9059,0.9155,0.9017
5/24/00,0.9069,0.9126,0.903
5/25/00,0.9124,0.913,0.898
5/26/00,0.9314,0.934,0.911
5/29/00,0.9265,0.9335,0.924
5/30/00,0.9318,0.941,0.9245
5/31/00,0.9358,0.9375,0.928
6/1/00,0.9327,0.938,0.9283
6/2/00,0.9421,0.9504,0.9297
6/5/00,0.9485,0.949,0.9413
6/6/00,0.9548,0.96,0.945
6/7/00,0.9621,0.9627,0.953
6/8/00,0.9567,0.9702,0.9513
6/9/00,0.9537,0.957,0.946
6/12/00,0.9535,0.956,0.949
6/13/00,0.9606,0.9626,0.952
6/14/00,0.9605,0.9655,0.9575
6/15/00,0.9535,0.9605,0.95
6/16/00,0.9654,0.9657,0.9485
6/19/00,0.9591,0.9695,0.9576
6/20/00,0.9579,0.962,0.9536
6/21/00,0.945,0.9545,0.9431
6/22/00,0.9379,0.9475,0.9345
6/23/00,0.9362,0.9529,0.934
6/26/00,0.9382,0.9396,0.9295
6/27/00,0.9466,0.9468,0.9355
6/28/00,0.9431,0.947,0.9399
6/29/00,0.9521,0.9536,0.9415
6/30/00,0.9536,0.9602,0.9505
7/3/00,0.9507,0.9545,0.948
7/4/00,0.952,0.9521,0.946
7/5/00,0.9535,0.9572,0.9505
7/6/00,0.9506,0.9595,0.9495
7/7/00,0.9468,0.9527,0.9458
7/10/00,0.9545,0.9549,0.9475
7/11/00,0.9519,0.9565,0.9492
7/12/00,0.9419,0.9525,0.9392
7/13/00,0.9363,0.9425,0.9329
7/14/00,0.9377,0.939,0.9317
7/17/00,0.9356,0.94,0.934
7/18/00,0.9264,0.9365,0.923
7/19/00,0.9232,0.926,0.9193
7/20/00,0.9328,0.9333,0.92
7/21/00,0.937,0.9381,0.931
7/24/00,0.9327,0.9375,0.931
7/25/00,0.938,0.9428,0.932
7/26/00,0.9416,0.945,0.938
7/27/00,0.9323,0.944,0.9316
7/28/00,0.9234,0.9335,0.9225
7/31/00,0.9269,0.9294,0.922
8/1/00,0.9145,0.9285,0.914
8/2/00,0.912,0.919,0.9113
8/3/00,0.907,0.918,0.8997
8/4/00,0.9079,0.91,0.9014
8/7/00,0.9084,0.9112,0.905
8/8/00,0.9018,0.909,0.8987
8/9/00,0.8986,0.9034,0.8963
8/10/00,0.9077,0.9097,0.9005
8/11/00,0.9033,0.914,0.9023
8/14/00,0.9052,0.9068,0.9001
8/15/00,0.9132,0.914,0.9055
8/16/00,0.9157,0.9175,0.9065
8/17/00,0.9173,0.9176,0.9117
8/18/00,0.9068,0.9185,0.9062
8/21/00,0.9018,0.9075,0.9009
8/22/00,0.8974,0.9035,0.8949
8/23/00,0.9002,0.9004,0.891
8/24/00,0.9023,0.9051,0.8995
8/25/00,0.9027,0.9072,0.8975
8/28/00,0.9001,0.9045,0.8986
8/29/00,0.8924,0.902,0.8914
8/30/00,0.8926,0.894,0.887
8/31/00,0.8878,0.897,0.8838
9/1/00,0.8997,0.9018,0.8875
9/4/00,0.8985,0.904,0.8965
9/5/00,0.8888,0.899,0.885
9/6/00,0.8703,0.8895,0.8688
9/7/00,0.8736,0.8766,0.8635
9/8/00,0.8695,0.874,0.864
9/11/00,0.8586,0.8725,0.8565
9/12/00,0.8627,0.8691,0.855
9/13/00,0.8613,0.8705,0.8585
9/14/00,0.8647,0.8735,0.8565
9/15/00,0.8556,0.87,0.8535
9/18/00,0.8539,0.8575,0.8512
9/19/00,0.8515,0.8565,0.8476
9/20/00,0.8478,0.852,0.844
9/21/00,0.8581,0.8593,0.846
9/22/00,0.8789,0.904,0.8573
9/25/00,0.8726,0.883,0.871
9/26/00,0.8822,0.8833,0.873
9/27/00,0.8834,0.8885,0.8782
9/28/00,0.8817,0.8863,0.878
9/29/00,0.8821,0.885,0.875
10/2/00,0.8784,0.8855,0.878
10/3/00,0.8741,0.8785,0.873
10/4/00,0.8746,0.878,0.8716
10/5/00,0.8691,0.8786,0.8679
10/6/00,0.868,0.874,0.8666
10/9/00,0.868,0.871,0.867
10/10/00,0.8714,0.8745,0.866
10/11/00,0.8688,0.8765,0.868
10/12/00,0.8626,0.868,0.8612
10/13/00,0.8537,0.866,0.8529
10/16/00,0.8496,0.856,0.8459
10/17/00,0.8554,0.8556,0.8475
10/18/00,0.8382,0.8575,0.8326
10/19/00,0.8435,0.8445,0.8381
10/20/00,0.8419,0.849,0.8349
10/23/00,0.8355,0.842,0.8349
10/24/00,0.8371,0.84,0.8345
10/25/00,0.8276,0.8385,0.8248
10/26/00,0.829,0.8321,0.8228
10/27/00,0.8399,0.8444,0.8285
10/30/00,0.8425,0.853,0.839
10/31/00,0.849,0.85,0.838
11/1/00,0.8609,0.8614,0.847
11/2/00,0.8604,0.8665,0.8555
11/3/00,0.8652,0.88,0.8575
11/6/00,0.8606,0.873,0.8559
11/7/00,0.8614,0.8665,0.8576
11/8/00,0.855,0.869,0.8517
11/9/00,0.8658,0.8674,0.852
11/10/00,0.8614,0.8705,0.8598
11/13/00,0.8605,0.8665,0.8579
11/14/00,0.8569,0.8615,0.8549
11/15/00,0.8578,0.863,0.8554
11/16/00,0.8521,0.86,0.8516
11/17/00,0.8475,0.8575,0.8482
11/20/00,0.8493,0.8522,0.8463
11/21/00,0.8433,0.853,0.8416
11/22/00,0.8446,0.8485,0.8411
11/23/00,0.839,0.846,0.8385
11/24/00,0.84,0.8455,0.8375
11/27/00,0.8519,0.8525,0.839
11/28/00,0.8565,0.858,0.8505
11/29/00,0.8581,0.8658,0.8555
11/30/00,0.872,0.8737,0.857
12/1/00,0.8783,0.879,0.8701
12/4/00,0.8874,0.8932,0.8755
12/5/00,0.8806,0.8905,0.8787
12/6/00,0.8909,0.892,0.877
12/7/00,0.8888,0.8975,0.8856
12/8/00,0.8831,0.8915,0.8822
12/11/00,0.8774,0.8865,0.875
12/12/00,0.8803,0.884,0.8753
12/13/00,0.8758,0.882,0.8715
12/14/00,0.8892,0.8901,0.8755
12/15/00,0.8958,0.9,0.8905
12/18/00,0.8937,0.9015,0.8924
12/19/00,0.8933,0.8965,0.888
12/20/00,0.9079,0.9095,0.895
12/21/00,0.914,0.917,0.906
12/22/00,0.9235,0.926,0.9145
12/25/00,0.9235,0.9235,0.9235
12/26/00,0.932,0.9325,0.9235
12/27/00,0.9304,0.934,0.9273
12/28/00,0.9286,0.932,0.9247
12/29/00,0.9398,0.94,0.928
1/1/01,0.9398,0.9398,0.9398
1/2/01,0.9488,0.9515,0.937
1/3/01,0.9291,0.957,0.9269
1/4/01,0.9503,0.952,0.9265
1/5/01,0.9575,0.9595,0.9467
1/8/01,0.9506,0.959,0.9468
1/9/01,0.9441,0.9475,0.9385
1/10/01,0.939,0.9465,0.9379
1/11/01,0.9517,0.9554,0.9465
1/12/01,0.9504,0.958,0.9468
1/15/01,0.9425,0.953,0.941
1/16/01,0.9413,0.9445,0.9373
1/17/01,0.9344,0.945,0.929
1/18/01,0.9444,0.9465,0.935
1/19/01,0.9342,0.9505,0.9339
1/22/01,0.9381,0.9396,0.9271
1/23/01,0.9389,0.945,0.937
1/24/01,0.9234,0.937,0.9216
1/25/01,0.9214,0.924,0.9118
1/26/01,0.924,0.9315,0.9199
1/29/01,0.9184,0.926,0.9177
1/30/01,0.927,0.928,0.9145
1/31/01,0.9365,0.9365,0.9255
2/1/01,0.942,0.9445,0.936
2/2/01,0.9348,0.942,0.9318
2/5/01,0.9389,0.9441,0.934
2/6/01,0.93,0.9385,0.9284
2/7/01,0.9308,0.935,0.926
2/8/01,0.9178,0.93,0.9151
2/9/01,0.9263,0.9273,0.913
2/12/01,0.9313,0.933,0.9245
2/13/01,0.9205,0.933,0.9172
2/14/01,0.919,0.922,0.9166
2/15/01,0.9034,0.9195,0.9028
2/16/01,0.9162,0.9177,0.9045
2/19/01,0.9215,0.9235,0.912
2/20/01,0.9097,0.924,0.9051
2/21/01,0.9083,0.918,0.906
2/22/01,0.9051,0.913,0.9016
2/23/01,0.919,0.9208,0.9025
2/26/01,0.9115,0.9185,0.9079
2/27/01,0.917,0.9206,0.9085
2/28/01,0.9233,0.9255,0.916
3/1/01,0.9319,0.9321,0.922
3/2/01,0.9342,0.938,0.9285
3/5/01,0.93,0.9365,0.9284
3/6/01,0.9335,0.9339,0.925
3/7/01,0.9287,0.937,0.9263
3/8/01,0.9317,0.934,0.927
3/9/01,0.9324,0.9375,0.9295
3/12/01,0.9279,0.934,0.926
3/13/01,0.9142,0.931,0.9133
3/14/01,0.9097,0.921,0.908
3/15/01,0.9007,0.913,0.8957
3/16/01,0.8956,0.9,0.8913
3/19/01,0.8985,0.9015,0.8935
3/20/01,0.9086,0.909,0.8985
3/21/01,0.8957,0.9125,0.8936
3/22/01,0.8879,0.8965,0.8833
3/23/01,0.889,0.8965,0.8855
3/26/01,0.896,0.8968,0.8885
3/27/01,0.8931,0.8992,0.8897
3/28/01,0.8863,0.8945,0.8848
3/29/01,0.8826,0.8885,0.8798
3/30/01,0.879,0.886,0.8755
4/2/01,0.8799,0.8836,0.873
4/3/01,0.8962,0.8969,0.8795
4/4/01,0.9023,0.9051,0.8935
4/5/01,0.8966,0.909,0.894
4/6/01,0.9027,0.9049,0.8925
4/9/01,0.8981,0.9045,0.899
4/10/01,0.8881,0.899,0.8862
4/11/01,0.887,0.8915,0.881
4/12/01,0.8917,0.8942,0.8837
4/13/01,0.891,0.8934,0.89
4/16/01,0.8862,0.8905,0.8833
4/17/01,0.8819,0.891,0.8777
4/18/01,0.8846,0.8897,0.8699
4/19/01,0.894,0.8957,0.881
4/20/01,0.9039,0.9047,0.8955
4/23/01,0.8972,0.9025,0.8945
4/24/01,0.8942,0.901,0.8931
4/25/01,0.8965,0.9001,0.8905
4/26/01,0.9039,0.9041,0.8945
4/27/01,0.8913,0.9055,0.889
4/30/01,0.8883,0.8925,0.8853
5/1/01,0.8921,0.894,0.8855
5/2/01,0.8932,0.8951,0.8885
5/3/01,0.89,0.8975,0.8882
5/4/01,0.8946,0.901,0.8894
5/7/01,0.8904,0.8935,0.8901
5/8/01,0.8835,0.891,0.8827
5/9/01,0.8849,0.8859,0.8814
5/10/01,0.8819,0.892,0.8781
5/11/01,0.8762,0.8825,0.8737
5/14/01,0.8744,0.876,0.8727
5/15/01,0.8782,0.8799,0.873
5/16/01,0.8743,0.8865,0.875
5/17/01,0.8829,0.888,0.879
5/18/01,0.8796,0.883,0.8756
5/21/01,0.8769,0.882,0.874
5/22/01,0.8652,0.8775,0.8626
5/23/01,0.8552,0.8662,0.8548
5/24/01,0.8566,0.8612,0.85
5/25/01,0.8582,0.8625,0.8535
5/28/01,0.8595,0.8615,0.858
5/29/01,0.8561,0.861,0.8529
5/30/01,0.8569,0.859,0.8535
5/31/01,0.8562,0.8568,0.8444
6/1/01,0.8476,0.8497,0.8433
6/4/01,0.846,0.8538,0.8442
6/5/01,0.8525,0.8535,0.842
6/6/01,0.8478,0.857,0.8448
6/7/01,0.8505,0.8516,0.8455
6/8/01,0.8512,0.8517,0.846
6/11/01,0.8438,0.854,0.8411
6/12/01,0.852,0.8535,0.8414
6/13/01,0.8531,0.8568,0.851
6/14/01,0.8629,0.8635,0.8486
6/15/01,0.8615,0.8672,0.86
6/18/01,0.8611,0.8645,0.8575
6/19/01,0.854,0.8612,0.8531
6/20/01,0.8545,0.8557,0.8496
6/21/01,0.8552,0.858,0.8515
6/22/01,0.856,0.8576,0.851
6/25/01,0.8605,0.8625,0.8565
6/26/01,0.8633,0.865,0.8585
6/27/01,0.8608,0.866,0.8588
6/28/01,0.8443,0.8615,0.8435
6/29/01,0.8494,0.8497,0.8435
7/2/01,0.8463,0.8515,0.8435
7/3/01,0.848,0.8505,0.8455
7/4/01,0.846,0.8505,0.8435
7/5/01,0.8365,0.848,0.8355
7/6/01,0.8473,0.8477,0.8345
7/9/01,0.8477,0.8507,0.844
7/10/01,0.8548,0.8574,0.8485
7/11/01,0.8594,0.8641,0.8535
7/12/01,0.8535,0.859,0.8507
7/13/01,0.8539,0.856,0.851
7/16/01,0.8551,0.86,0.8535
7/17/01,0.8589,0.8608,0.849
7/18/01,0.8723,0.8737,0.857
7/19/01,0.8715,0.8785,0.8679
7/20/01,0.8715,0.8785,0.8703
7/23/01,0.8687,0.8715,0.8654
7/24/01,0.8751,0.8762,0.8685
7/25/01,0.8803,0.8813,0.8715
7/26/01,0.8782,0.8823,0.8748
7/27/01,0.8763,0.8805,0.8724
7/30/01,0.8749,0.8772,0.872
7/31/01,0.8751,0.8782,0.8725
8/1/01,0.8811,0.883,0.8755
8/2/01,0.883,0.884,0.8785
8/3/01,0.8842,0.8873,0.878
8/6/01,0.8818,0.883,0.8785
8/7/01,0.8771,0.8815,0.875
8/8/01,0.8806,0.8807,0.8735
8/9/01,0.8925,0.8941,0.8805
8/10/01,0.8936,0.8959,0.891
8/13/01,0.8977,0.9007,0.8925
8/14/01,0.9027,0.9035,0.8935
8/15/01,0.9125,0.914,0.902
8/16/01,0.9142,0.92,0.9093
8/17/01,0.9174,0.9179,0.91
8/20/01,0.9137,0.92,0.911
8/21/01,0.913,0.9175,0.9078
8/22/01,0.9146,0.924,0.9135
8/23/01,0.9154,0.9168,0.91
