Date,Open,High,Low,Close,Volume
20100104,207.552,208.612,206.55,208.311,17178285
20100105,208.593,209.672,207.397,208.457,20028926.41
20100106,208.495,209.322,204.975,205.013,19479833.03
20100107,205.937,206.181,203.312,204.605,16745032.42
20100108,204.528,206.083,203.322,206.073,15362925.56
20100111,207.056,207.153,202.728,204.284,16332243.65
20100112,203.448,204.012,200.753,201.717,19005104.62
20100113,202.164,205.14,198.497,205.023,21347127.07
20100114,204.343,204.683,203.283,203.632,14485595.3
20100115,205.131,205.791,200.219,200.384,22038703.92
20100119,202.65,209.263,201.551,209.206,23880376.93
20100120,208.942,209.633,203.75,206.112,21805573.51
20100121,206.258,207.454,201.522,202.203,21342696.23
20100122,201.104,201.805,191.748,192.205,30165376.42
20100125,196.952,199.081,194.694,197.399,31023978.91
20100126,200.142,207.844,197.019,200.53,62694645
20100127,201.153,204.8,194.053,202.203,61394656.3
20100128,199.275,199.859,193.246,193.703,41375739.9
20100129,195.551,196.65,185.027,187.177,44114821.78
20100201,187.1,190.619,186.049,189.161,26474110.12
20100202,190.386,190.931,188.072,190.386,21060901.34
20100203,189.851,194.704,189.084,193.673,21812902.35
20100204,191.378,192.925,186.312,186.759,26603224.1
20100205,187.342,190.619,185.611,190.367,29664734.17
20100208,190.318,192.448,188.889,188.918,15788877.94
20100209,190.911,192.079,189.404,190.873,19211592.47
20100210,190.513,191.204,188.928,189.735,12821606.11
20100211,189.55,194.267,188.733,193.333,18778781.1
20100212,192.749,196.105,190.134,195.015,21703111.05
20100216,196.406,198.099,192.05,197.758,17720855.1
20100217,198.585,198.702,195.346,196.796,15415975.43
20100218,196.075,198.294,195.405,197.417,14745952.11
20100219,196.367,197.622,195.59,195.959,15179055.57
20100222,196.796,196.942,193.722,194.792,13812831.88
20100223,194.442,195.803,190.338,191.466,17112385.03
20100224,192.789,195.91,192.41,195.269,16437971.28
20100225,191.943,197.291,191.486,196.65,23769645.1
20100226,196.824,199.538,196.455,199.169,17548591.53
20100301,200.083,203.75,199.811,203.234,19261096.48
20100302,204.216,205.043,202.038,202.826,17388424.64
20100303,203.204,204.109,202.232,203.486,13048592.81
20100304,203.584,205.131,202.903,204.916,12504106.24
20100305,209.088,213.669,208.739,212.901,31474813.4
20100308,213.98,214.049,212.259,212.843,15150297.32
20100309,212.317,218.824,211.909,216.898,29803740.7
20100310,217.667,219.291,217.073,218.658,18764773.6
20100311,217.764,219.232,217.19,219.213,14157010.17
20100312,221.109,221.479,219.553,220.351,14724735.02
20100315,219.194,219.31,214.204,217.569,17129257.44
20100316,218.026,218.804,216.402,218.366,14263953.91
20100317,218.775,220.234,217.141,217.832,14177742.1
20100318,218.045,218.824,216.499,218.512,12056938.01
20100319,218.794,219.058,215.157,215.915,21655558.79
20100322,214.418,219.797,214.107,218.6,15704378.41
20100323,219.339,222.5,217.949,222.228,19478776.56
20100324,221.391,223.881,221.265,223.259,18327024.06
20100325,224.581,224.64,220.039,220.331,18906897.92
20100326,222.675,225.583,222.276,224.504,20170020.44
20100329,226.506,227.45,225.262,225.767,13740454.23
20100330,230.106,230.961,227.82,229.454,18246323.6
